time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.19305649e-07,-8.02317942601e-08,10.0013166059,6.28301279312,0.000234739758382,0.0,-1.92133829968e-05,-1.00732090733e-05,0.0438857313315,-0.00935545124518,0.0107706662902,0.0,418.6059119033351,419.5418864827341,418.76934430272235,417.9549720160213
0.12000000000000001,-1.05472365307e-05,-7.65169219348e-06,10.0111874186,6.28214781324,0.000372753747379,0.0,-0.000386921468974,-0.000326711456324,0.285111637482,-0.0271874728464,-0.0257661677272,0.0,480.41360737142816,477.6357249322963,480.9115957839,479.55934318446344
0.18,-3.6152455231e-05,-6.40879530058e-05,10.0380446151,6.28032604259,6.28202960211,0.0,-0.000258576737057,-0.00178673449752,0.610011630822,-0.0376192372891,-0.0248969745197,0.0,503.1684287587829,503.23130575218636,503.8857921799066,503.13101978891217
0.23999999999999996,-2.18676964091e-05,-0.000239166253457,10.0777700973,6.27829951625,6.28049039329,0.0,0.000890218769817,-0.00426783307268,0.714110289258,-0.0270247104413,-0.0272108986294,0.0,438.50787463386865,438.3155098677072,438.35322221551695,439.23210529179636
0.3,0.000100167933208,-0.000613533550418,10.1258203474,6.27691245337,6.27863148553,0.0,0.00337280755586,-0.00837914574679,0.887444318117,-0.0162686489046,-0.0398541172571,0.0,459.96077892847876,458.9582155633127,460.3717153144472,461.22183923201635
0.36000000000000004,0.000407203418437,-0.00125131780127,10.1823389499,6.27598397871,6.27597609274,0.0,0.0071200395761,-0.0129781045067,0.996417969903,-0.013932006693,-0.0549598134777,0.0,440.562002170974,439.31020538634255,441.0836396415154,441.2766401708653
0.4200000000000001,0.000977512274021,-0.00216467545312,10.2427675298,6.27508260756,6.27270012441,0.0,0.0121871378098,-0.0175454170331,1.01784592084,-0.0172989065473,-0.0538886368209,0.0,411.2490875351556,411.3416901190998,413.3574054426968,413.060711937458
0.48000000000000015,0.00199182645013,-0.00342932050191,10.311734042,6.27409568268,6.26960896969,0.0,0.0220188235305,-0.0247348791417,1.28077511771,-0.014800527116,-0.0471594368163,0.0,486.67707631612535,487.178956383079,486.8304364766856,487.0174301887697
0.5400000000000001,0.00361586537906,-0.00511222435023,10.3924028211,6.27318273115,6.26677539606,0.0,0.0324139468945,-0.0314559897047,1.40803037135,-0.0160596987589,-0.0473600999434,0.0,447.148848597302,447.131176237459,447.1681164366576,447.06564468453223
0.6000000000000002,0.00596659403783,-0.00724384882706,10.4832115783,6.27214827607,6.26422959631,0.0,0.0462561031162,-0.0397134529875,1.61864696595,-0.0197145320744,-0.0340488948606,0.0,472.02399497993406,473.0491159298255,472.92675090619787,472.6452790071745
0.6600000000000003,0.00920712583831,-0.00989740360181,10.5867280738,6.2710205795,6.26218261759,0.0,0.0619981835141,-0.0488718524272,1.83157952329,-0.0170165511489,-0.034251460382,0.0,474.20579599481647,474.1898379652108,473.5691366891335,473.77667641257193
0.7200000000000003,0.0134165156227,-0.0131124555873,10.7018481006,6.26999530708,6.25988866964,0.0,0.0785523797344,-0.0584084922838,2.0054584534,-0.0172308935244,-0.0476992643777,0.0,463.7661648418932,462.70807948383464,462.805300019891,462.78852215685913
0.7800000000000004,0.018648295857,-0.0169091271442,10.826339757,6.26879375998,6.25793692425,0.0,0.0960823099226,-0.0682634868685,2.14400512817,-0.0263005300576,-0.0125119547661,0.0,451.0942442886272,453.9259907556927,453.6675911903615,452.93883542378273
0.8400000000000004,0.0249794115151,-0.0213320980535,10.9596161524,6.26671650533,6.25690872498,0.0,0.115042553904,-0.0793540819927,2.29823749329,-0.0616965417279,-0.0285211508629,0.0,458.1248928856364,456.8503033107246,460.4081094246319,457.59844847084383
0.9000000000000005,0.0324153140389,-0.0264376227855,11.0999196308,6.26259189497,6.2555471667,0.0,0.132966408132,-0.0912085823477,2.37836900588,-0.0890733046476,-0.0130352599803,0.0,434.6985947560245,435.99422060730745,437.4252387800552,435.1355112803233
0.9600000000000005,0.0410087367883,-0.0323884655178,11.2471259328,6.25737844599,6.25509838163,0.0,0.153536964316,-0.107722725382,2.52817129797,-0.0828512791992,0.00179795496944,0.0,457.80512455920336,458.9839234046979,457.2047314950511,457.6941461026343
1.0200000000000005,0.0508796771229,-0.039479011378,11.4046204355,6.25251032586,6.25494315431,0.0,0.175481928691,-0.129186135454,2.72118757244,-0.0779090619725,-0.0132432456384,0.0,472.3696820119609,471.20843430708294,471.1915354184439,471.5685255146616
1.0800000000000005,0.0620417402858,-0.0479327501682,11.5725318641,6.24854191435,6.25381154747,0.0,0.196677703994,-0.153061145561,2.87546289424,-0.0493900318125,-0.033518417268,0.0,461.9896094482071,460.388218022152,459.576761797095,461.82826161782157
1.1400000000000006,0.0744576751279,-0.0578436527472,11.7480884467,6.24641840661,6.25192023056,0.0,0.217377483081,-0.17754357983,2.97614677727,-0.0164453826638,-0.0278020391943,0.0,444.6043576272701,445.0721020672747,444.3686244779292,447.0602871261591
1.2000000000000006,0.0881647258786,-0.069274305025,11.9300383624,6.24524358663,6.25002915231,0.0,0.239697494224,-0.203578590136,3.08853813374,-0.0267313345949,-0.0402367710631,0.0,450.03326956259684,449.02526451498034,449.91022005023143,449.0766719935144
1.2600000000000007,0.10323104993,-0.0822690121447,12.1180758441,6.24378847287,6.24799865804,0.0,0.262725368129,-0.229722393311,3.17911063346,-0.0197050122886,-0.0234124183874,0.0,442.2970200985915,443.6799729373216,443.4349029371647,444.01164134772654
